"","GSM856203","GSM856204","GSM856205","GSM856206","GSM856207","GSM856208","GSM856209","GSM856210","GSM856211","GSM856212","GSM856213","GSM856214","GSM856215","GSM856216","GSM856217","GSM856218","GSM856219","GSM856220","GSM856221","GSM856222","GSM856223","GSM856224","GSM856225","GSM856226","GSM856227","GSM856228","GSM856229","GSM856230","GSM856231","GSM856232","GSM856233","GSM856234","GSM856235","GSM856236","GSM856237","GSM856238","GSM856239","GSM856240","GSM856241","GSM856242","GSM856243","GSM856244","GSM856245","GSM856246","GSM856247","GSM856248","GSM856249","GSM856250","GSM856251","GSM856252","GSM856253","GSM856254","GSM856255","GSM856256","GSM856257","GSM856258","GSM856259","GSM856260","GSM856261","GSM856262","GSM856263","GSM856264","GSM856265","GSM856266","GSM856267","GSM856268","GSM856269","GSM856270","GSM856271","GSM856272","GSM856273","GSM856274","GSM856275","GSM856276","GSM856277","GSM856278","GSM856279","GSM856280"
"LDLRAD4",67.4,119.3,141.4,255,153.7,125.4,145.3,152.8,103.5,120.1,91.3,113.4,89.6,173.6,206.3,147.8,69.2,74.8,117.3,168.8,191.7,128.2,182.3,100.2,144.5,152.6,99.6,136.2,196.3,270.9,420.8,225.4,436.2,160.2,383.4,173.1,249,140.1,196.6,116.2,165.5,107.3,102.5,122.1,82.8,96.7,128.1,135,145.4,119.9,247.6,95.1,116.1,81.3,146.8,141.3,147,201.1,134.2,99.6,180.7,626.9,112.8,248.2,213.9,136.9,140.7,246.8,182.7,127.8,458,328,156.1,238.1,289.4,159.5,275.7,603.3
"CD200",49.8,38.9,72.2,76.4,54.8,49.5,39.5,211.4,45.5,405.5,92.8,54.8,519.2,41.9,97.5,221.5,16.8,8.1,45.6,117.5,82.6,50.6,45.2,18.1,49,105.9,101.8,82.6,44.5,869.9,692,332.4,445.1,100.2,251.7,230.5,187.6,156.9,231.2,10.8,68.5,64.2,4.3,61.3,117.5,26.7,127.9,75.9,64.2,65.1,117.6,79.7,81.9,71.2,16.6,68.9,50.2,61.4,71.3,55.6,43,136.8,109.8,129.7,108.6,63.6,117.8,127.9,160.8,70.6,375.7,273.9,98,332.8,220.6,126.3,139.1,274.8
"SMAGP",44.5,54.9,123.3,60.8,60.8,55,124.1,163.3,87.7,25.8,58.8,67.6,30.8,79.6,137.2,48.8,25.7,60.4,15.6,60.1,112.8,27.4,36.1,49.2,26.8,90.7,129.8,23.7,87.7,145,120.5,976.3,232.5,111.5,141.1,371.9,361,105.1,74,68.2,37.2,70.5,93.4,86.3,32.9,100.5,37.9,146.3,48,110,97.3,32.7,48.9,93.9,15.3,25,20.2,29.6,106,9.1,18.3,213.1,111.9,138.7,20.1,96.2,65.3,36.1,22.9,89.1,104.7,145.3,189.6,224.4,186.3,90.2,149.9,80.6
"S100B",260.4,54.9,27.7,6.6,10.5,23.6,10.8,13.9,11.7,14.6,9.1,51.6,10,8.3,19.6,255.2,66.2,8.9,8.6,18.7,139.1,8.4,8.4,15.1,12.1,12.1,16.1,17.6,8,71.7,906.9,88.7,705.1,313.2,472.9,232.5,59.5,148.3,134.4,6.7,22.2,166.9,6.7,43,6.7,20,167.2,65.1,47.4,13.4,13.1,41.7,7.2,20,115,5.7,84.7,10.8,6.7,26.3,33.2,9.8,7.6,101.8,5.3,189.3,11.9,24.5,14.8,107.4,206.3,305.8,114.8,185.5,139.8,14,723.8,16.9
"HGF",23.9,40.5,232.9,168.9,280.5,74.7,164,317.9,62.1,93.2,156.2,2.4,446.1,89.7,394.5,72,75.8,185.9,355.7,51.4,65.3,98.2,221.6,48,112.3,41.9,24.3,77.3,43.4,379.3,330.5,73.6,233.2,224.8,707.4,314.2,587,218.9,1248,41.2,541.4,49.5,86.4,72.5,67.1,73.4,79,52.5,54.6,91.1,73.4,63.8,65.5,70.9,57.4,144.2,60.4,88.7,29,44.6,87.2,94.2,55.9,133.6,394.6,52.6,61.3,157.2,87.5,81.3,252,491.5,188.8,824.5,210.6,320.3,119.4,674.2
"CSRP2",108.1,8.9,87.8,47.9,25.3,25.4,23.1,38.9,19.6,35.4,106,13.1,75.4,6.7,49.6,54.9,88.3,11.7,102.1,45.7,17.4,22.4,13.4,34.3,31.2,22.3,106,18.7,16.3,34.2,144.4,3172,264.2,47.4,428.9,349.4,121.8,55.6,94.9,90.7,90.1,42,52.7,42.2,40,27.7,25.2,48.5,87.7,49.3,53.1,54.7,14.1,39.2,52.8,18.2,49.2,14,29.3,21.4,29.5,86.1,123.4,147.6,121.1,18.2,26.8,76.5,56.6,318.9,472.7,243.8,11.7,154.7,36.9,33,319.3,218.1
"CDKN2C-2",129.3,248.9,159.1,61.1,169.4,156.9,30.4,101.5,192.3,88,159.5,133.7,53.6,156.6,92.3,231,347.2,40.2,280,231.1,136.3,140.4,84.9,48.7,203.9,288.8,182.7,214.5,138.8,111.1,573.8,356,395,747.5,207.1,307.8,123.9,172,573.9,307.8,41.9,238.9,167,256.9,313.8,89.5,54.8,325.4,203.6,317.8,237.4,383.4,203.5,293.9,138.6,262.2,278.3,287.5,260.9,253.7,216.6,486.4,24.7,296.3,154.3,38.7,261.8,395.5,251.9,614.7,569.4,599.8,685.9,384.4,1305,608.5,609.8,424.4
"GALC",199.6,151.4,141.2,166.8,96.2,226.7,184,49.8,180.6,158.2,31.2,101.7,266.2,199.4,176.5,258.2,174.6,92.7,440.9,358.8,190.7,201.7,285.9,295.7,185.7,145.1,317.9,315.3,191.3,151,826.5,1622,565.8,767.1,526.3,358,412.6,172.4,361.1,231.1,170.5,214.3,103.9,206.9,86.3,285.1,325.3,180.2,388.2,189.5,415.5,346.3,132.9,265.4,383,196.3,237.8,366.9,247.1,428.9,291.7,241.9,201,407,99.8,190.5,311.1,232.5,267.9,231.8,1386,393.7,339.5,349.3,267.8,390.8,961.9,402.7
"SPRY1",167.9,112.9,296.2,158,209.6,356.7,157.2,55.2,195.1,217.6,121.2,87.6,220.9,162.8,147.4,338.9,205.7,346.5,1306,172,106.5,134.2,141.3,386.6,98.4,276.7,285.8,284.4,159,331,227,4469,282.8,680.3,670.5,331.3,1382,171.7,412.7,214.7,241.3,237,112.1,188.9,371.1,197.3,215.4,220.9,240.1,116.1,174.2,188.1,109.1,208.6,221.8,112,158.5,455.7,98.2,221.4,354.9,670.3,272.7,268.2,158.3,384.5,310,226.3,542.9,214.8,432.4,342.8,510,257.5,185.1,253,350.2,1379
"HOXA5",4236,3200,6654,4387,3289,4275,3244,4527,2920,4381,4741,4641,4501,5775,3744,7582,6045,5546,3782,1342,4597,2222,6463,3709,1141,3210,2089,4046,1383,1190,21.4,80.3,145.9,218.5,154,67.3,3704,505.7,13.6,6887,7367,8559,4962,4045,4970,4278,4107,3161,5448,2782,2344,3426,3770,4671,6575,2331,2569,2924,4100,2990,876.7,1361,3813,7848,3092,8255,5418,1804,73.9,1825,112.1,93.4,75.2,317.2,133.7,2258,58.9,106.6
